quiz_id,enrollment_id,quiz_name,score,taken_at
202,51,"Quiz 4",82.2,2023-06-13
203,52,"Quiz 1",82.4,2023-06-14
204,52,"Quiz 2",78.6,2023-06-29
205,52,"Quiz 3",100.0,2023-07-29
206,52,"Quiz 4",100.0,2023-06-07
207,52,"Quiz 5",90.0,2023-07-04
208,53,"Quiz 1",95.5,2023-06-14
209,53,"Quiz 2",97.2,2023-07-12
210,53,"Quiz 3",80.8,2023-07-10
211,53,"Quiz 4",75.5,2023-06-18
212,53,"Quiz 5",100.0,2023-06-27
213,53,"Quiz 6",82.6,2023-06-05
214,54,"Quiz 1",81.8,2023-07-16
215,54,"Quiz 2",98.7,2023-08-19
216,54,"Quiz 3",80.0,2023-08-02
217,55,"Quiz 1",12.1,2023-05-22
218,55,"Quiz 2",33.3,2023-04-12
219,55,"Quiz 3",23.8,2023-04-27
220,56,"Quiz 1",75.5,2023-03-13
221,56,"Quiz 2",93.1,2023-03-11
222,56,"Quiz 3",100.0,2023-03-20
223,56,"Quiz 4",76.3,2023-02-27
224,56,"Quiz 5",90.5,2023-03-07
225,57,"Quiz 1",74.5,2023-04-05
226,57,"Quiz 2",96.2,2023-04-25
227,57,"Quiz 3",100.0,2023-05-04
228,57,"Quiz 4",80.0,2023-04-03
229,58,"Quiz 1",78.8,2022-11-13
230,58,"Quiz 2",93.0,2022-10-05
231,58,"Quiz 3",73.3,2022-11-05
232,58,"Quiz 4",99.9,2022-10-09
233,58,"Quiz 5",100.0,2022-09-07
234,59,"Quiz 1",87.0,2023-11-02
235,59,"Quiz 2",90.2,2023-09-29
236,59,"Quiz 3",100.0,2023-10-07
237,59,"Quiz 4",92.6,2023-11-01
238,60,"Quiz 1",88.0,2023-09-13
239,60,"Quiz 2",78.6,2023-08-09
240,60,"Quiz 3",100.0,2023-08-09
241,60,"Quiz 4",77.1,2023-08-05
242,60,"Quiz 5",100.0,2023-08-19
243,60,"Quiz 6",93.9,2023-09-21
244,61,"Quiz 1",8.2,2023-08-11
245,61,"Quiz 2",38.5,2023-09-10
246,61,"Quiz 3",31.3,2023-09-06
247,61,"Quiz 4",41.2,2023-08-14
248,61,"Quiz 5",3.9,2023-08-29
249,62,"Quiz 1",43.3,2022-09-14
250,62,"Quiz 2",38.3,2022-10-23
251,62,"Quiz 3",42.9,2022-09-23
252,62,"Quiz 4",11.6,2022-10-11
253,62,"Quiz 5",42.7,2022-08-17
254,62,"Quiz 6",46.6,2022-08-20
255,63,"Quiz 1",83.6,2022-10-20
256,63,"Quiz 2",100.0,2022-12-12
257,64,"Quiz 1",100.0,2022-09-16
258,64,"Quiz 2",81.0,2022-10-10
259,65,"Quiz 1",93.0,2023-05-18
260,65,"Quiz 2",99.1,2023-04-30
261,65,"Quiz 3",91.3,2023-05-16
262,65,"Quiz 4",92.1,2023-05-16
263,65,"Quiz 5",97.4,2023-04-29
264,66,"Quiz 1",95.7,2023-05-13
265,66,"Quiz 2",76.1,2023-05-25
266,66,"Quiz 3",73.8,2023-05-07
267,66,"Quiz 4",89.2,2023-05-30
268,66,"Quiz 5",65.1,2023-05-14
269,67,"Quiz 1",90.3,2023-06-17
270,67,"Quiz 2",62.8,2023-06-03
271,67,"Quiz 3",89.9,2023-06-21
272,67,"Quiz 4",75.8,2023-07-07
273,67,"Quiz 5",71.1,2023-05-27
274,68,"Quiz 1",24.0,2023-09-14
275,68,"Quiz 2",33.0,2023-10-20
276,68,"Quiz 3",67.1,2023-10-10
277,69,"Quiz 1",78.9,2023-09-11
278,69,"Quiz 2",68.8,2023-08-28
279,70,"Quiz 1",77.4,2023-11-30
280,70,"Quiz 2",80.2,2023-11-27
281,70,"Quiz 3",61.9,2023-10-17
282,71,"Quiz 1",50.4,2023-09-10
283,71,"Quiz 2",47.2,2023-09-07
284,71,"Quiz 3",45.2,2023-10-07
285,71,"Quiz 4",68.8,2023-08-29
286,71,"Quiz 5",51.3,2023-10-10
287,71,"Quiz 6",29.3,2023-09-17
288,72,"Quiz 1",90.6,2023-09-09
289,72,"Quiz 2",100.0,2023-08-15
290,72,"Quiz 3",100.0,2023-08-21
291,73,"Quiz 1",100.0,2023-09-13
292,73,"Quiz 2",92.8,2023-07-22
293,74,"Quiz 1",58.3,2023-10-22
294,74,"Quiz 2",47.8,2023-10-17
295,74,"Quiz 3",31.3,2023-10-28
296,74,"Quiz 4",39.6,2023-09-20
297,74,"Quiz 5",52.4,2023-10-09
298,74,"Quiz 6",54.1,2023-09-21
299,75,"Quiz 1",93.2,2022-11-01
300,75,"Quiz 2",77.0,2022-10-20
301,76,"Quiz 1",34.2,2023-09-30
302,76,"Quiz 2",14.8,2023-10-02
303,76,"Quiz 3",51.2,2023-10-08
304,76,"Quiz 4",40.2,2023-09-14
305,76,"Quiz 5",12.3,2023-09-23
306,76,"Quiz 6",27.6,2023-09-19
307,77,"Quiz 1",100.0,2023-12-05
308,77,"Quiz 2",75.4,2023-12-02
309,77,"Quiz 3",95.8,2023-12-07
310,77,"Quiz 4",94.5,2023-12-05
311,77,"Quiz 5",96.5,2023-12-13
312,78,"Quiz 1",71.4,2022-12-22
313,78,"Quiz 2",51.2,2022-12-23
314,79,"Quiz 1",95.8,2024-01-20
315,79,"Quiz 2",77.9,2023-12-09
316,79,"Quiz 3",68.7,2023-12-14
317,79,"Quiz 4",100.0,2023-11-19
318,79,"Quiz 5",93.0,2023-12-19
319,80,"Quiz 1",90.6,2022-12-17
320,80,"Quiz 2",92.7,2022-11-07
321,80,"Quiz 3",71.2,2022-11-08
322,80,"Quiz 4",79.0,2023-01-02
323,80,"Quiz 5",81.8,2022-12-26
324,80,"Quiz 6",77.1,2022-11-05
325,81,"Quiz 1",81.3,2022-12-28
326,81,"Quiz 2",88.5,2022-12-19
327,81,"Quiz 3",74.3,2022-12-24
328,81,"Quiz 4",76.8,2022-12-12
329,81,"Quiz 5",76.6,2022-12-15
330,81,"Quiz 6",91.1,2022-12-22
331,82,"Quiz 1",67.9,2023-01-07
332,82,"Quiz 2",75.2,2023-01-09
333,82,"Quiz 3",65.0,2023-02-06
334,82,"Quiz 4",85.9,2022-12-22
335,82,"Quiz 5",80.5,2023-01-20
336,83,"Quiz 1",14.7,2024-03-04
337,83,"Quiz 2",36.2,2024-03-31
338,83,"Quiz 3",22.2,2024-03-07
339,83,"Quiz 4",13.5,2024-02-22
340,84,"Quiz 1",82.2,2022-07-03
341,84,"Quiz 2",95.4,2022-08-24
342,84,"Quiz 3",70.4,2022-06-29
343,84,"Quiz 4",77.3,2022-08-30
344,84,"Quiz 5",100.0,2022-08-01
345,85,"Quiz 1",24.4,2022-06-03
346,85,"Quiz 2",20.0,2022-05-22
347,85,"Quiz 3",42.0,2022-05-17
348,85,"Quiz 4",30.7,2022-05-24
349,86,"Quiz 1",79.7,2024-01-22
350,86,"Quiz 2",69.5,2024-02-13
351,86,"Quiz 3",86.8,2023-12-06
352,86,"Quiz 4",92.4,2023-12-05
353,86,"Quiz 5",82.6,2024-01-13
354,87,"Quiz 1",36.8,2024-01-07
355,87,"Quiz 2",56.3,2024-01-14
356,88,"Quiz 1",34.8,2022-11-19
357,88,"Quiz 2",43.1,2022-11-27
358,88,"Quiz 3",45.4,2022-11-18
359,88,"Quiz 4",34.6,2022-12-15
360,88,"Quiz 5",43.0,2022-12-13
361,89,"Quiz 1",100.0,2023-07-18
362,89,"Quiz 2",89.8,2023-08-12
363,90,"Quiz 1",37.5,2022-08-19
364,90,"Quiz 2",45.1,2022-08-09
365,91,"Quiz 1",73.0,2022-09-13
366,91,"Quiz 2",93.8,2022-07-14
367,91,"Quiz 3",99.5,2022-09-08
368,91,"Quiz 4",79.8,2022-08-28
369,91,"Quiz 5",75.5,2022-09-15
370,91,"Quiz 6",94.0,2022-08-06
371,92,"Quiz 1",43.4,2022-11-25
372,92,"Quiz 2",53.8,2022-10-12
373,92,"Quiz 3",39.5,2022-11-16
374,93,"Quiz 1",100.0,2022-07-03
375,93,"Quiz 2",75.7,2022-07-06
376,93,"Quiz 3",63.6,2022-07-12
377,94,"Quiz 1",29.1,2023-05-24
378,94,"Quiz 2",26.8,2023-03-25
379,94,"Quiz 3",30.5,2023-05-16
380,94,"Quiz 4",12.8,2023-04-26
381,94,"Quiz 5",19.3,2023-05-15
382,94,"Quiz 6",30.9,2023-05-06
383,95,"Quiz 1",22.8,2023-05-22
384,95,"Quiz 2",24.8,2023-05-24
385,95,"Quiz 3",9.7,2023-06-07
386,96,"Quiz 1",71.9,2023-04-10
387,96,"Quiz 2",94.0,2023-05-08
388,96,"Quiz 3",88.5,2023-04-24
389,96,"Quiz 4",96.1,2023-04-25
390,97,"Quiz 1",94.1,2023-03-18
391,97,"Quiz 2",86.2,2023-04-30
392,97,"Quiz 3",88.0,2023-06-01
393,97,"Quiz 4",69.4,2023-03-30
394,97,"Quiz 5",90.4,2023-05-30
395,98,"Quiz 1",97.8,2023-05-07
396,98,"Quiz 2",80.4,2023-04-16
397,99,"Quiz 1",88.0,2023-04-22
398,99,"Quiz 2",97.1,2023-04-26
399,99,"Quiz 3",93.2,2023-04-05
400,99,"Quiz 4",72.6,2023-04-23
401,99,"Quiz 5",72.9,2023-04-04
402,99,"Quiz 6",100.0,2023-04-11
403,100,"Quiz 1",90.9,2022-08-21
404,100,"Quiz 2",82.4,2022-09-06
405,100,"Quiz 3",67.4,2022-08-31
406,100,"Quiz 4",90.3,2022-08-15
407,100,"Quiz 5",77.1,2022-08-15
408,100,"Quiz 6",79.7,2022-08-31
409,101,"Quiz 1",98.5,2022-07-11
410,101,"Quiz 2",100.0,2022-08-14
411,101,"Quiz 3",80.7,2022-07-20
412,101,"Quiz 4",76.4,2022-07-31
413,101,"Quiz 5",85.1,2022-08-17
414,102,"Quiz 1",94.4,2023-06-04
415,102,"Quiz 2",85.2,2023-07-05
416,102,"Quiz 3",78.9,2023-07-19
417,102,"Quiz 4",93.7,2023-07-08
418,102,"Quiz 5",85.6,2023-06-12
419,102,"Quiz 6",100.0,2023-06-03
420,103,"Quiz 1",65.4,2023-08-08
421,103,"Quiz 2",86.3,2023-06-25
422,103,"Quiz 3",64.9,2023-08-11
423,103,"Quiz 4",61.9,2023-07-09
424,103,"Quiz 5",84.5,2023-06-23
425,103,"Quiz 6",100.0,2023-06-25
426,104,"Quiz 1",100.0,2023-04-24
427,104,"Quiz 2",97.7,2023-06-12
428,104,"Quiz 3",75.6,2023-05-01
429,104,"Quiz 4",70.3,2023-06-21
430,104,"Quiz 5",81.4,2023-06-26
431,105,"Quiz 1",13.8,2023-04-11
432,105,"Quiz 2",18.1,2023-03-18
433,106,"Quiz 1",35.3,2023-07-03
434,106,"Quiz 2",47.8,2023-06-26
435,106,"Quiz 3",31.6,2023-06-09
436,106,"Quiz 4",54.3,2023-05-25
437,106,"Quiz 5",21.4,2023-05-23
438,106,"Quiz 6",26.4,2023-06-22
439,107,"Quiz 1",74.2,2023-07-03
440,107,"Quiz 2",90.9,2023-05-22
441,108,"Quiz 1",100.0,2023-11-02
442,108,"Quiz 2",78.7,2023-09-04
443,108,"Quiz 3",78.9,2023-10-06
444,109,"Quiz 1",83.2,2023-05-30
445,109,"Quiz 2",95.9,2023-04-11
446,109,"Quiz 3",85.7,2023-04-30
447,109,"Quiz 4",93.1,2023-04-25
448,110,"Quiz 1",82.4,2023-04-01
449,110,"Quiz 2",90.3,2023-04-24
450,110,"Quiz 3",90.8,2023-04-29
451,110,"Quiz 4",77.5,2023-04-25
452,110,"Quiz 5",99.8,2023-04-28
453,110,"Quiz 6",77.8,2023-04-25
454,111,"Quiz 1",74.0,2023-06-08
455,111,"Quiz 2",79.1,2023-06-08
456,111,"Quiz 3",84.3,2023-05-04
457,111,"Quiz 4",91.3,2023-06-03
458,111,"Quiz 5",89.3,2023-05-06
459,111,"Quiz 6",68.6,2023-06-05
460,112,"Quiz 1",100.0,2024-03-19
461,112,"Quiz 2",89.7,2024-04-03
462,112,"Quiz 3",96.6,2024-03-05
463,112,"Quiz 4",76.0,2024-03-01
464,112,"Quiz 5",90.2,2024-03-11
465,113,"Quiz 1",69.0,2024-02-11
466,113,"Quiz 2",70.4,2024-01-28
467,113,"Quiz 3",72.7,2024-02-12
468,113,"Quiz 4",87.1,2024-03-03
469,114,"Quiz 1",90.9,2024-02-23
470,114,"Quiz 2",89.7,2024-02-20
471,114,"Quiz 3",87.8,2024-02-15
472,115,"Quiz 1",89.7,2024-01-25
473,115,"Quiz 2",90.9,2024-01-31
474,116,"Quiz 1",88.6,2023-12-09
475,116,"Quiz 2",89.0,2023-12-27
476,117,"Quiz 1",79.5,2023-10-31
477,117,"Quiz 2",94.0,2023-09-24
478,117,"Quiz 3",94.8,2023-11-24
479,117,"Quiz 4",90.2,2023-10-25
480,117,"Quiz 5",75.0,2023-09-22
481,118,"Quiz 1",74.4,2023-11-10
482,118,"Quiz 2",86.4,2023-11-05
483,118,"Quiz 3",91.1,2023-11-09
484,119,"Quiz 1",83.5,2023-10-22
485,119,"Quiz 2",79.5,2023-10-24
486,119,"Quiz 3",94.0,2023-10-30
487,120,"Quiz 1",86.1,2022-01-24
488,120,"Quiz 2",91.4,2022-02-10
489,120,"Quiz 3",79.0,2022-03-08
490,120,"Quiz 4",100.0,2022-02-20
491,120,"Quiz 5",83.5,2022-03-19
492,121,"Quiz 1",29.1,2022-04-25
493,121,"Quiz 2",13.0,2022-04-06
494,121,"Quiz 3",40.2,2022-04-06
495,122,"Quiz 1",85.2,2022-02-21
496,122,"Quiz 2",97.8,2022-01-30
497,123,"Quiz 1",88.0,2022-02-01
498,123,"Quiz 2",100.0,2022-01-30
499,123,"Quiz 3",80.9,2022-02-07
500,123,"Quiz 4",69.6,2022-02-14
501,123,"Quiz 5",92.4,2022-02-16
502,123,"Quiz 6",80.4,2022-02-24
503,124,"Quiz 1",83.9,2023-10-31
504,124,"Quiz 2",92.5,2023-11-25
505,125,"Quiz 1",83.8,2024-02-01
506,125,"Quiz 2",94.4,2024-02-22
507,125,"Quiz 3",74.9,2024-01-13
508,126,"Quiz 1",59.0,2024-01-05
509,126,"Quiz 2",89.2,2024-01-16
510,126,"Quiz 3",73.3,2024-01-22
511,126,"Quiz 4",58.1,2024-01-20
512,127,"Quiz 1",53.2,2023-03-19
513,127,"Quiz 2",10.8,2023-03-22
514,128,"Quiz 1",88.7,2022-12-28
515,128,"Quiz 2",82.1,2022-12-13
516,128,"Quiz 3",84.6,2023-01-23
517,128,"Quiz 4",100.0,2022-12-20
518,128,"Quiz 5",75.4,2023-01-03
519,129,"Quiz 1",36.7,2023-02-21
520,129,"Quiz 2",57.6,2023-02-26
521,129,"Quiz 3",26.1,2023-04-21
522,129,"Quiz 4",37.1,2023-03-04
523,129,"Quiz 5",11.9,2023-02-11
524,129,"Quiz 6",51.0,2023-03-14
525,130,"Quiz 1",0.0,2023-02-17
526,130,"Quiz 2",18.4,2023-02-25
527,130,"Quiz 3",15.4,2023-02-09
528,130,"Quiz 4",21.5,2023-02-27
529,131,"Quiz 1",26.2,2024-02-29
530,131,"Quiz 2",37.2,2024-01-26
531,131,"Quiz 3",48.6,2024-01-16
532,132,"Quiz 1",80.7,2022-12-01
533,132,"Quiz 2",64.4,2022-12-10
534,133,"Quiz 1",12.6,2023-01-12
535,133,"Quiz 2",28.2,2023-01-22
536,133,"Quiz 3",28.3,2023-01-26
537,133,"Quiz 4",31.0,2022-12-11
538,133,"Quiz 5",32.4,2023-02-02
539,133,"Quiz 6",30.5,2022-12-26
540,134,"Quiz 1",67.9,2023-02-11
541,134,"Quiz 2",72.7,2023-02-20
542,134,"Quiz 3",64.1,2023-02-24
543,135,"Quiz 1",77.6,2023-07-05
544,135,"Quiz 2",88.0,2023-07-28
545,135,"Quiz 3",78.8,2023-07-14
546,135,"Quiz 4",78.2,2023-07-25
547,136,"Quiz 1",100.0,2023-12-11
548,136,"Quiz 2",100.0,2023-11-26
549,137,"Quiz 1",97.1,2022-10-03
550,137,"Quiz 2",67.9,2022-08-12
551,137,"Quiz 3",65.7,2022-08-16
552,137,"Quiz 4",66.1,2022-09-27
553,138,"Quiz 1",20.3,2022-10-20
554,138,"Quiz 2",20.2,2022-11-04
555,138,"Quiz 3",31.1,2022-11-27
556,138,"Quiz 4",12.2,2022-10-16
557,139,"Quiz 1",60.8,2023-05-23
558,139,"Quiz 2",79.5,2023-05-19
559,140,"Quiz 1",67.8,2023-08-21
560,140,"Quiz 2",86.5,2023-08-26
561,140,"Quiz 3",93.0,2023-08-22
562,140,"Quiz 4",79.0,2023-08-03
563,140,"Quiz 5",88.7,2023-08-18
564,141,"Quiz 1",22.6,2024-01-18
565,141,"Quiz 2",13.7,2023-12-14
566,141,"Quiz 3",15.7,2024-01-23
567,141,"Quiz 4",29.8,2023-12-17
568,142,"Quiz 1",15.7,2024-01-08
569,142,"Quiz 2",20.4,2024-01-27
570,142,"Quiz 3",5.4,2024-03-05
571,142,"Quiz 4",27.0,2024-02-05
572,142,"Quiz 5",36.0,2024-01-29
573,142,"Quiz 6",28.3,2024-02-14
574,143,"Quiz 1",65.4,2023-11-29
575,143,"Quiz 2",85.2,2023-11-23
576,143,"Quiz 3",88.7,2024-01-03
577,143,"Quiz 4",92.9,2023-11-28
578,143,"Quiz 5",84.5,2023-12-10
579,143,"Quiz 6",97.5,2023-11-23
580,144,"Quiz 1",15.8,2023-11-01
581,144,"Quiz 2",25.9,2023-09-27
582,144,"Quiz 3",20.4,2023-08-29
583,144,"Quiz 4",20.3,2023-09-06
584,145,"Quiz 1",94.6,2024-01-07
585,145,"Quiz 2",86.8,2024-01-03
586,145,"Quiz 3",81.7,2024-01-10
587,145,"Quiz 4",98.4,2024-02-04
588,146,"Quiz 1",20.8,2024-04-01
589,146,"Quiz 2",32.2,2024-02-08
590,146,"Quiz 3",17.2,2024-02-15
591,147,"Quiz 1",88.2,2024-01-13
592,147,"Quiz 2",99.8,2024-01-15
593,147,"Quiz 3",82.7,2023-12-21
594,147,"Quiz 4",70.8,2023-11-30
595,147,"Quiz 5",93.0,2023-12-18
596,147,"Quiz 6",90.2,2024-01-10
597,148,"Quiz 1",81.3,2023-10-02
598,148,"Quiz 2",86.6,2023-10-02
599,148,"Quiz 3",71.6,2023-09-08
600,149,"Quiz 1",82.3,2024-01-28
601,149,"Quiz 2",98.0,2024-01-14
602,149,"Quiz 3",85.4,2024-02-01
603,150,"Quiz 1",89.4,2024-02-10
604,150,"Quiz 2",76.3,2024-02-14
605,150,"Quiz 3",100.0,2024-02-11
606,150,"Quiz 4",91.7,2024-02-02
