log_id,enrollment_id,week_number,videos_watched,quizzes_taken,quiz_avg_score,forum_posts,hours_spent
274,48,1,0,0,,3,7.2
275,48,2,2,4,89.8,4,3.7
276,48,3,3,4,84.4,2,6.8
277,48,4,2,2,88.2,2,9.0
278,48,5,6,3,78.9,4,8.1
279,48,6,0,2,94.5,2,3.6
280,49,1,1,1,14.6,0,4.1
281,50,1,1,1,46.3,0,1.3
282,50,2,2,0,,0,4.8
283,50,3,2,0,,1,2.6
284,51,1,3,0,,1,4.9
285,51,2,3,1,75.3,4,3.0
286,51,3,2,3,92.2,0,4.0
287,51,4,6,4,85.1,2,9.1
288,51,5,4,4,103.0,2,6.3
289,51,6,6,2,95.2,0,6.5
290,52,1,1,4,88.4,0,6.9
291,52,2,6,1,99.3,0,4.9
292,52,3,6,3,94.8,2,5.3
293,52,4,3,4,86.7,0,7.7
294,52,5,6,4,87.6,0,5.0
295,52,6,3,3,87.2,0,3.6
296,52,7,2,0,,4,7.2
297,52,8,0,0,,4,4.7
298,52,9,6,2,106.7,1,6.5
299,52,10,2,1,92.8,2,7.5
300,53,1,2,4,87.2,2,5.4
301,53,2,0,3,89.2,0,6.5
302,53,3,3,3,92.1,1,4.8
303,53,4,5,3,69.8,4,4.9
304,53,5,1,4,97.1,0,9.3
305,53,6,3,4,87.2,1,9.0
306,53,7,5,3,99.9,0,3.1
307,53,8,5,3,94.2,3,6.2
308,54,1,2,2,74.2,0,4.5
309,54,2,3,0,,2,4.5
310,54,3,2,3,77.1,3,3.9
311,54,4,1,1,74.4,3,3.8
312,54,5,5,3,84.5,3,3.5
313,54,6,5,1,74.6,1,4.7
314,54,7,5,3,74.9,0,3.3
315,54,8,4,0,,3,3.9
316,54,9,1,2,82.0,0,5.0
317,54,10,5,3,71.7,0,7.7
318,54,11,0,1,86.9,0,1.4
319,54,12,1,1,70.4,3,5.7
320,55,1,0,1,51.2,0,3.5
321,55,2,0,1,37.6,0,2.8
322,56,1,3,2,91.0,3,9.9
323,56,2,5,1,118.5,1,8.9
324,56,3,1,3,91.1,3,7.1
325,56,4,1,3,89.2,3,8.4
326,57,1,2,3,101.7,0,4.8
327,57,2,0,4,80.5,4,6.2
328,57,3,3,0,,1,5.7
329,57,4,6,2,77.9,3,3.6
330,57,5,4,0,,1,5.7
331,57,6,3,0,,4,6.5
332,57,7,0,2,81.7,4,6.4
333,57,8,4,3,78.9,4,5.8
334,58,1,6,4,99.7,0,5.8
335,58,2,4,0,,2,6.8
336,58,3,2,1,84.0,2,4.9
337,58,4,0,0,,4,7.2
338,58,5,1,3,101.9,2,6.6
339,58,6,5,1,82.7,3,7.0
340,58,7,0,2,101.1,0,8.6
341,58,8,6,1,87.3,3,6.0
342,58,9,3,1,79.7,3,5.8
343,58,10,4,2,84.0,0,3.9
344,58,11,0,0,,1,3.4
345,59,1,2,3,97.1,4,9.4
346,59,2,2,2,80.3,2,6.5
347,59,3,4,3,82.7,3,6.5
348,59,4,5,4,73.5,1,3.0
349,59,5,1,2,88.1,4,6.3
350,59,6,0,0,,3,6.0
351,59,7,0,4,98.6,1,7.3
352,60,1,1,3,78.1,4,2.4
353,60,2,6,1,102.2,2,4.1
354,60,3,2,3,87.9,3,5.3
355,60,4,2,3,84.7,2,3.2
356,60,5,2,1,91.5,0,4.4
357,60,6,3,3,88.3,2,6.6
358,60,7,1,3,115.3,1,8.4
359,60,8,4,3,95.1,1,8.1
360,61,1,0,1,41.2,0,3.0
361,61,2,1,0,,0,3.5
362,62,1,0,1,22.0,0,1.8
363,62,2,1,1,43.1,0,1.9
364,62,3,1,2,52.5,0,5.8
365,62,4,2,2,44.2,1,3.6
366,62,5,2,0,,0,3.4
367,63,1,6,4,93.9,1,5.9
368,63,2,0,0,,1,4.5
369,63,3,3,0,,3,8.3
370,63,4,1,1,82.4,0,6.3
371,63,5,2,0,,3,6.6
372,63,6,4,1,91.9,0,5.4
373,63,7,0,3,78.6,0,4.4
374,63,8,6,1,73.7,3,7.6
375,63,9,2,0,,4,4.3
376,63,10,6,1,87.5,0,4.5
377,63,11,0,2,85.0,1,6.1
378,63,12,2,4,83.9,1,1.8
379,63,13,0,1,98.6,0,6.7
380,63,14,3,1,76.3,0,6.6
381,64,1,5,2,83.6,4,4.6
382,64,2,1,4,92.3,0,3.4
383,64,3,4,0,,2,4.2
384,64,4,2,3,97.3,0,6.0
385,64,5,4,0,,4,3.8
386,64,6,4,4,102.9,1,3.3
387,64,7,1,2,93.1,0,7.2
388,64,8,5,3,106.7,3,7.3
389,65,1,6,0,,3,5.4
390,65,2,4,0,,0,8.5
391,65,3,4,4,80.2,2,3.1
392,65,4,2,1,98.1,0,5.6
393,65,5,5,3,94.0,1,5.0
394,66,1,5,4,95.0,3,6.4
395,66,2,3,3,94.4,2,7.6
396,66,3,4,1,93.5,4,3.2
397,66,4,1,4,109.3,0,5.3
398,67,1,1,4,81.6,0,5.5
399,67,2,3,4,91.5,0,4.2
400,67,3,6,0,,3,6.9
401,67,4,3,1,104.5,3,7.7
402,67,5,1,1,85.3,0,7.1
403,67,6,0,3,87.1,3,5.0
404,67,7,6,4,90.0,3,5.6
405,68,1,1,2,66.2,0,5.0
406,68,2,2,0,,0,1.4
407,68,3,0,1,55.6,1,4.2
408,68,4,0,2,59.5,0,4.2
409,68,5,0,2,55.0,1,2.7
410,69,1,0,1,63.9,2,0.2
411,69,2,2,1,56.6,2,1.9
412,69,3,0,0,,1,6.1
413,70,1,6,1,76.1,2,5.6
414,70,2,3,4,100.3,3,5.1
415,70,3,3,0,,2,6.2
416,70,4,6,1,92.0,4,4.7
417,70,5,2,2,81.9,3,3.4
418,70,6,6,4,81.4,3,3.5
419,70,7,6,2,93.4,1,6.4
420,70,8,2,2,83.0,0,7.0
421,70,9,1,4,96.6,1,5.6
422,71,1,2,0,,0,4.5
423,71,2,0,2,53.4,1,5.3
424,71,3,3,2,69.4,0,3.3
425,71,4,0,1,72.7,1,2.2
426,71,5,2,0,,0,6.1
427,72,1,4,1,91.5,3,4.9
428,72,2,4,1,96.9,4,2.6
429,72,3,6,2,87.1,1,8.5
430,72,4,3,0,,4,6.4
431,72,5,3,1,76.4,4,6.2
432,72,6,0,2,77.3,3,7.9
433,72,7,2,3,84.3,2,7.2
434,72,8,2,3,93.0,3,5.4
435,72,9,5,3,92.7,3,4.4
436,72,10,5,3,98.5,0,8.0
437,73,1,5,4,96.5,1,7.2
438,73,2,2,4,107.9,3,9.6
439,73,3,6,4,94.9,2,2.7
440,73,4,1,0,,0,6.1
441,73,5,1,2,85.6,3,8.7
442,73,6,0,2,79.9,1,7.2
443,73,7,0,0,,2,0.7
444,73,8,4,2,91.2,4,3.9
445,73,9,2,3,91.3,0,3.7
446,73,10,0,2,101.6,1,5.0
447,73,11,3,1,87.2,2,6.8
448,73,12,3,2,96.8,0,5.4
449,74,1,2,2,65.0,2,2.5
450,74,2,2,0,,2,0.8
451,74,3,0,0,,2,2.2
452,74,4,2,1,64.4,0,2.0
453,74,5,0,0,,0,0.3
454,75,1,4,4,98.3,2,6.8
455,75,2,5,0,,1,7.5
456,75,3,1,1,86.7,1,4.4
457,75,4,1,0,,3,4.7
458,75,5,0,0,,3,2.7
459,75,6,6,3,94.6,4,6.3
460,75,7,4,0,,3,7.1
461,76,1,0,1,44.3,0,1.5
462,77,1,4,3,81.1,3,8.0
463,77,2,5,0,,1,8.9
464,77,3,3,1,65.7,4,6.1
465,77,4,2,0,,3,7.0
466,77,5,0,4,101.1,2,8.6
467,77,6,4,0,,0,5.5
468,77,7,2,3,94.4,4,5.7
469,77,8,6,3,74.8,1,4.4
470,77,9,6,3,87.2,1,8.6
471,77,10,6,3,73.4,2,9.1
472,78,1,1,1,53.8,2,0.1
473,78,2,2,2,55.3,1,1.7
474,78,3,3,1,66.9,2,2.9
475,79,1,1,3,90.0,4,5.5
476,79,2,4,4,84.8,0,6.2
477,79,3,4,3,75.3,3,6.9
478,79,4,3,4,104.1,2,2.5
479,79,5,4,4,85.2,0,6.5
480,79,6,3,0,,3,5.9
481,79,7,3,2,96.5,0,4.3
482,79,8,0,1,71.4,2,4.6
483,79,9,5,1,84.6,3,6.1
484,79,10,3,0,,4,4.7
485,79,11,5,4,76.9,4,3.5
486,79,12,1,4,92.4,0,4.2
487,80,1,2,3,81.3,1,8.4
488,80,2,1,2,71.6,0,3.6
489,80,3,6,2,94.6,4,6.8
490,80,4,2,0,,3,4.9
491,80,5,4,3,81.2,2,8.2
492,80,6,0,2,91.4,3,4.4
493,80,7,0,3,86.2,0,5.5
494,80,8,3,4,83.7,2,6.8
495,80,9,3,1,97.3,3,2.4
496,80,10,0,4,69.7,1,5.9
497,81,1,4,2,80.0,1,4.7
498,81,2,4,3,93.9,4,6.2
499,81,3,5,4,91.8,1,4.8
500,81,4,6,3,86.8,2,8.3
501,82,1,0,1,100.6,3,5.8
502,82,2,1,2,98.2,4,6.1
503,82,3,1,1,97.4,0,6.1
504,82,4,3,3,108.7,4,8.1
505,82,5,0,1,89.4,1,5.9
506,82,6,6,2,92.4,4,7.8
507,82,7,5,3,107.5,0,10.0
508,82,8,2,4,97.3,2,8.9
509,83,1,0,0,,0,0.0
510,84,1,0,3,74.8,0,5.4
511,84,2,2,4,76.6,2,7.4
512,84,3,6,1,79.7,2,8.4
513,84,4,0,4,106.0,0,6.7
514,84,5,5,1,89.8,2,8.0
515,84,6,6,0,,4,8.6
516,84,7,3,0,,3,3.1
517,84,8,2,2,105.7,1,8.0
518,84,9,2,1,93.8,3,5.1
519,84,10,5,2,102.4,3,3.7
520,84,11,6,0,,2,8.5
521,84,12,3,3,76.1,3,7.6
522,85,1,1,2,44.3,0,4.0
523,85,2,1,1,43.8,0,3.9
524,85,3,2,2,48.5,0,4.4
525,86,1,1,0,,0,4.6
526,86,2,4,4,74.8,3,2.9
527,86,3,1,2,88.2,3,4.8
528,86,4,4,3,85.4,2,5.3
529,86,5,1,4,101.8,3,8.1
530,86,6,6,3,95.4,1,3.9
531,86,7,5,1,97.3,2,9.7
532,86,8,2,3,82.2,1,7.4
533,86,9,4,1,98.2,1,6.0
534,86,10,3,1,85.3,2,6.6
535,86,11,2,1,73.9,2,3.1
536,86,12,4,3,99.7,2,7.2
537,87,1,2,2,47.1,1,2.3
538,87,2,2,2,26.9,1,6.7
539,87,3,0,2,53.2,0,3.3
540,87,4,2,1,65.7,0,1.2
541,88,1,1,1,47.3,1,0.7
542,88,2,0,1,44.8,1,2.9
543,89,1,3,0,,1,6.6
544,89,2,6,2,93.1,1,7.7
545,89,3,6,2,75.7,4,8.1
546,89,4,4,0,,4,4.3
547,89,5,6,4,99.5,1,10.1
548,89,6,6,3,80.7,0,2.3
549,89,7,2,0,,3,2.8
550,90,1,1,1,77.6,0,0.0
551,90,2,0,0,,1,2.0
552,91,1,1,3,100.4,3,5.3
553,91,2,5,1,106.3,0,4.9
554,91,3,5,2,107.1,4,8.0
555,91,4,6,2,100.9,4,6.7
556,91,5,3,3,100.3,2,4.1
557,91,6,6,3,86.0,2,4.4
558,91,7,3,0,,0,4.6
559,91,8,4,2,104.8,1,5.5
560,91,9,3,4,81.6,2,4.2
561,91,10,3,3,105.8,2,7.7
562,91,11,1,1,86.6,1,4.5
563,92,1,2,1,50.4,0,3.3
564,92,2,0,0,,1,0.0
565,92,3,2,1,33.7,1,5.4
566,92,4,2,1,27.8,0,6.2
567,93,1,3,3,91.2,4,5.7
568,93,2,6,4,81.6,2,4.1
569,93,3,5,3,66.1,2,6.9
570,93,4,1,0,,0,6.6
571,93,5,5,1,94.3,1,4.9
572,93,6,5,1,77.1,4,7.1
573,93,7,1,0,,2,6.1
574,93,8,3,0,,0,4.9
575,94,1,1,0,,0,0.0
576,94,2,1,1,19.4,0,3.8
577,95,1,1,0,,0,0.2
578,96,1,6,1,84.1,0,4.9
579,96,2,5,3,94.6,4,7.0
580,96,3,3,0,,3,8.2
581,96,4,1,1,85.9,4,6.4
582,96,5,2,2,90.6,1,7.8
583,96,6,4,0,,0,9.5
584,97,1,6,4,86.3,0,5.4
585,97,2,3,3,106.3,0,5.2
586,97,3,6,4,74.7,0,3.5
587,97,4,6,4,94.6,0,6.2
588,97,5,6,1,95.0,2,5.4
589,97,6,5,3,90.9,0,3.7
590,97,7,1,2,87.2,1,6.9
591,97,8,3,3,90.1,3,5.8
592,97,9,2,2,85.8,2,6.0
593,97,10,5,3,80.5,1,8.3
594,97,11,6,4,83.7,3,6.7
595,97,12,3,3,109.7,4,3.1
596,97,13,6,2,100.1,0,5.3
597,97,14,5,4,93.9,2,5.7
598,98,1,2,3,67.7,2,7.0
599,98,2,5,2,81.1,2,5.1
600,98,3,4,1,76.6,1,3.2
601,98,4,4,3,73.2,3,1.3
602,98,5,1,2,90.7,3,6.5
603,98,6,5,1,67.6,1,5.0
604,98,7,0,2,63.3,1,4.8
605,99,1,0,0,,2,5.9
606,99,2,0,0,,0,8.4
607,99,3,3,2,89.1,2,5.9
608,99,4,1,4,70.6,4,4.3
609,100,1,3,1,79.2,2,6.3
610,100,2,5,4,79.5,3,7.5
611,100,3,6,2,77.7,3,4.6
612,100,4,5,3,88.8,1,3.9
613,100,5,1,4,101.0,1,8.3
614,101,1,2,2,89.4,1,6.5
615,101,2,1,4,69.3,2,8.2
616,101,3,2,1,96.7,0,9.0
617,101,4,0,4,78.3,3,9.3
618,101,5,3,4,86.0,2,8.0
619,101,6,6,3,74.2,4,6.5
620,101,7,1,1,78.9,3,5.9
621,102,1,4,0,,1,5.6
622,102,2,4,4,87.1,4,5.7
623,102,3,4,1,90.0,0,3.6
624,102,4,0,4,90.8,1,6.4
625,102,5,1,4,73.0,4,7.2
626,102,6,2,3,80.1,0,4.8
627,102,7,2,3,90.9,4,6.4
628,102,8,2,3,89.8,0,7.0
629,102,9,4,1,88.6,0,7.2
630,102,10,1,2,104.4,0,5.1
631,103,1,6,4,86.3,0,6.7
632,103,2,2,3,86.5,0,5.8
633,103,3,3,1,91.7,4,5.8
634,103,4,4,0,,1,6.2
635,103,5,1,2,75.5,4,5.3
636,103,6,5,4,92.3,1,6.2
637,103,7,4,1,84.6,1,4.0
638,103,8,4,3,87.5,0,8.2
639,103,9,6,4,90.1,2,5.3
640,103,10,0,3,85.0,2,2.9
641,103,11,3,2,79.0,1,3.9
642,103,12,0,1,83.9,4,4.4
643,103,13,3,0,,1,5.3
644,103,14,5,4,110.5,1,6.0
645,104,1,5,0,,4,1.7
646,104,2,5,1,93.2,3,3.1
647,104,3,3,3,84.7,4,9.6
648,104,4,5,0,,4,8.0
649,104,5,0,3,85.6,3,4.4
650,104,6,6,4,86.1,0,7.0
651,104,7,0,3,85.5,0,7.0
652,104,8,1,0,,2,4.7
653,104,9,1,0,,4,3.2
654,104,10,5,2,92.5,3,4.7
655,104,11,2,0,,2,2.9
656,104,12,4,1,90.7,0,7.2
657,105,1,2,0,,1,2.2
658,105,2,0,0,,1,0.7
659,106,1,1,0,,0,6.2
660,106,2,1,1,39.6,0,0.5
661,107,1,5,2,77.5,2,6.0
662,107,2,2,0,,2,8.3
663,107,3,4,1,106.2,4,4.8
664,107,4,3,0,,3,5.3
665,107,5,0,0,,3,5.6
666,107,6,2,0,,1,9.3
667,107,7,0,2,96.8,4,5.5
668,107,8,5,0,,4,5.5
669,107,9,0,2,96.0,4,4.4
670,107,10,6,3,91.4,4,8.7
671,108,1,2,4,91.6,4,6.9
672,108,2,5,0,,4,6.3
673,108,3,4,1,83.6,4,5.9
674,108,4,5,4,100.4,3,6.4
675,108,5,0,0,,1,7.0
676,108,6,2,4,66.7,2,8.0
677,108,7,2,4,103.0,1,3.7
678,108,8,3,2,83.4,0,5.0
679,108,9,4,4,86.9,1,5.1
680,108,10,4,4,96.6,1,4.4
681,108,11,1,1,92.0,3,4.2
682,108,12,5,3,82.7,4,4.9
683,108,13,4,2,82.2,1,4.6
684,108,14,0,3,105.6,3,2.9
685,109,1,0,4,93.0,0,7.3
686,109,2,5,4,98.4,2,6.5
687,109,3,1,2,90.7,1,6.3
688,109,4,1,2,97.6,4,6.0
689,109,5,1,2,96.6,0,9.0
690,109,6,3,0,,2,6.4
691,109,7,1,2,80.8,2,6.5
692,109,8,5,1,115.6,4,4.0
693,109,9,3,0,,0,8.8
694,109,10,6,1,107.9,1,3.0
695,110,1,4,3,76.0,1,5.5
696,110,2,6,4,72.7,0,7.0
697,110,3,5,4,98.6,2,3.8
698,110,4,2,2,90.1,4,4.9
699,110,5,3,3,75.1,2,3.5
700,110,6,6,4,83.0,0,7.1
701,110,7,3,1,110.5,3,6.4
702,110,8,3,4,100.3,1,7.8
703,111,1,1,3,99.0,1,5.9
704,111,2,0,2,94.0,4,3.1
705,111,3,6,2,88.8,1,6.6
706,111,4,0,4,92.2,1,4.5
707,111,5,2,2,103.0,2,7.0
708,111,6,1,4,102.7,2,7.7
709,111,7,6,2,90.5,3,9.5
710,111,8,6,0,,3,4.8
711,111,9,5,4,114.5,3,5.7
712,111,10,1,1,88.9,1,4.6
713,112,1,2,1,76.7,3,7.5
714,112,2,6,4,85.9,4,8.5
715,112,3,6,0,,1,8.8
716,112,4,2,4,110.3,4,8.2
717,112,5,3,3,83.3,1,6.7
718,112,6,3,1,88.9,3,8.0
719,112,7,3,2,98.2,0,7.4
720,112,8,1,0,,4,8.6
